ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00282,PF04231:PF14441:PF00876,89,63,30,59,33,945,0.48,0.91,0.34,0.34,0.36,10,10,79,0,978,1.0,0.93,0.11,0.11,0.32
PF00283,PF00329:PF08561:PF12527,4,39,3,1,36,1027,0.08,0.97,0.75,0.75,0.23,5,1,3,4,1059,0.2,0.99,0.25,0.25,0.22
PF00284,PF01788:PF08189:PF11415,8,1,1,7,0,1059,1.0,0.99,0.12,0.12,0.35,0,0,8,0,1059,0,0.99,0.0,0.0,0
PF00285,PF01667:PF14303:PF01127,58,77,29,29,48,961,0.38,0.93,0.5,0.5,0.4,20,16,42,4,1005,0.8,0.96,0.28,0.28,0.45
PF00286,PF06699:PF04081:PF09341,1,45,0,1,45,1021,0.0,0.96,0.0,0.0,-0.01,8,0,1,8,1058,0.0,0.99,0.0,0.0,-0.0
PF00287,PF07572:PF07039:PF14521,22,39,10,12,29,1016,0.26,0.96,0.45,0.45,0.32,10,6,16,4,1041,0.6,0.98,0.27,0.27,0.4
PF00288,PF10509:PF17925:PF16295,92,27,27,65,0,975,1.0,0.94,0.29,0.29,0.52,1,1,91,0,975,1.0,0.91,0.01,0.01,0.1
PF00289,PF04703:PF17331:PF02425,83,0,0,83,0,984,0,0.92,0.0,0.0,0,0,0,83,0,984,0,0.92,0.0,0.0,0
PF00290,PF12739:PF07555:PF16474,28,52,11,17,41,998,0.21,0.95,0.39,0.39,0.26,9,4,24,5,1034,0.44,0.97,0.14,0.14,0.24
PF00291,PF04229:PF00756:PF02622,138,75,36,102,39,890,0.48,0.87,0.26,0.26,0.29,17,11,127,6,923,0.65,0.88,0.08,0.08,0.2
PF00292,PF04098:PF10846:PF06637,25,33,10,15,23,1019,0.3,0.96,0.4,0.4,0.33,7,4,21,3,1039,0.57,0.98,0.16,0.16,0.29
PF00293,PF10235:PF01781:PF06912,173,52,31,142,21,873,0.6,0.85,0.18,0.18,0.27,13,12,161,1,893,0.92,0.85,0.07,0.07,0.23
PF00294,PF07039:PF07572:PF10441,118,40,24,94,16,933,0.6,0.9,0.2,0.2,0.31,10,10,108,0,949,1.0,0.9,0.08,0.08,0.28
