ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021:PF00007:PF00026:PF00025:PF00014:PF00010,426,833,325,101,508,1603,0.39,0.76,0.76,0.76,0.42,85,82,344,3,2108,0.96,0.86,0.19,0.19,0.4
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001:PF00020:PF00010:PF00003:PF00015:PF00006,145,884,128,17,756,1636,0.14,0.7,0.88,0.88,0.28,69,48,97,21,2371,0.7,0.95,0.33,0.33,0.46
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004:PF00019:PF00009:PF00012:PF00024:PF00002,126,1205,117,9,1088,1323,0.1,0.57,0.93,0.93,0.21,103,58,68,45,2366,0.56,0.96,0.46,0.46,0.49
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019:PF00003:PF00005:PF00009:PF00012:PF00018,636,1229,533,103,696,1205,0.43,0.69,0.84,0.84,0.41,140,133,503,7,1894,0.95,0.8,0.21,0.21,0.39
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009:PF00022:PF00020:PF00015:PF00024:PF00001,746,1079,564,182,515,1276,0.52,0.73,0.76,0.76,0.43,94,94,652,0,1791,1.0,0.74,0.13,0.13,0.3
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022:PF00019:PF00004:PF00020:PF00009:PF00013,172,1207,156,16,1051,1314,0.13,0.58,0.91,0.91,0.23,108,61,111,47,2318,0.56,0.94,0.35,0.35,0.42
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011:PF00015:PF00001:PF00009:PF00026:PF00014,26,777,23,3,754,1757,0.03,0.7,0.88,0.88,0.13,44,14,12,30,2481,0.32,0.98,0.54,0.54,0.41
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014:PF00027:PF00013:PF00017:PF00018:PF00025,245,987,245,0,742,1550,0.25,0.71,1.0,1.0,0.41,126,109,136,17,2275,0.87,0.94,0.44,0.44,0.59
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012:PF00016:PF00010:PF00004:PF00005:PF00003,389,1158,329,60,829,1319,0.28,0.65,0.85,0.85,0.33,79,69,320,10,2138,0.87,0.87,0.18,0.18,0.36
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009:PF00020:PF00015:PF00019:PF00012:PF00002,336,741,240,96,501,1700,0.32,0.76,0.71,0.71,0.36,46,43,293,3,2198,0.93,0.88,0.13,0.13,0.32
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025:PF00026:PF00021:PF00001:PF00023:PF00009,156,1044,142,14,902,1479,0.14,0.64,0.91,0.91,0.26,103,61,95,42,2339,0.59,0.95,0.39,0.39,0.45
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020:PF00010:PF00004:PF00013:PF00003:PF00019,281,1037,281,0,756,1500,0.27,0.7,1.0,1.0,0.42,103,93,188,10,2246,0.9,0.92,0.33,0.33,0.52
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011:PF00017:PF00014:PF00018:PF00008:PF00016,289,1133,289,0,844,1404,0.26,0.67,1.0,1.0,0.4,127,113,176,14,2234,0.89,0.93,0.39,0.39,0.56
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025:PF00020:PF00015:PF00001:PF00007:PF00009,135,885,116,19,769,1633,0.13,0.69,0.86,0.86,0.25,64,45,90,19,2383,0.7,0.96,0.33,0.33,0.47
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007:PF00014:PF00027:PF00002:PF00006:PF00022,62,864,62,0,802,1673,0.07,0.68,1.0,1.0,0.22,68,28,34,40,2435,0.41,0.97,0.45,0.45,0.42
PF00016,PF00019:PF00006:PF00010:PF00020:PF00012:PF00009:PF00003:PF00011:PF00002:PF00029,41,819,36,5,783,1713,0.04,0.69,0.88,0.88,0.15,60,16,25,44,2452,0.27,0.97,0.39,0.39,0.31
PF00017,PF00017:PF00018:PF00030:PF00013:PF00024:PF00008:PF00023:PF00015:PF00029:PF00028,253,878,253,0,625,1659,0.29,0.75,1.0,1.0,0.46,73,68,185,5,2279,0.93,0.93,0.27,0.27,0.48
PF00018,PF00017:PF00023:PF00030:PF00013:PF00004:PF00024:PF00008:PF00007:PF00015:PF00014,357,1002,293,64,709,1471,0.29,0.7,0.82,0.82,0.35,75,70,287,5,2175,0.93,0.88,0.2,0.2,0.4
PF00019,PF00019:PF00016:PF00020:PF00029:PF00009:PF00006:PF00022:PF00004:PF00010:PF00007,84,970,84,0,886,1567,0.09,0.65,1.0,1.0,0.24,45,29,55,16,2437,0.64,0.97,0.35,0.35,0.46
PF00020,PF00020:PF00019:PF00016:PF00029:PF00009:PF00012:PF00010:PF00028:PF00007:PF00002,57,769,57,0,712,1768,0.07,0.72,1.0,1.0,0.23,41,31,26,10,2470,0.76,0.99,0.54,0.54,0.63
PF00021,PF00021:PF00007:PF00029:PF00028:PF00011:PF00023:PF00001:PF00025:PF00013:PF00026,34,912,34,0,878,1625,0.04,0.65,1.0,1.0,0.16,78,19,15,59,2444,0.24,0.97,0.56,0.56,0.36
PF00022,PF00022:PF00025:PF00006:PF00019:PF00001:PF00009:PF00024:PF00005:PF00030:PF00011,269,1152,269,0,883,1385,0.23,0.65,1.0,1.0,0.38,97,88,181,9,2259,0.91,0.93,0.33,0.33,0.52
PF00023,PF00013:PF00018:PF00008:PF00004:PF00028:PF00021:PF00011:PF00025:PF00017:PF00003,432,1044,349,83,695,1410,0.33,0.69,0.81,0.81,0.36,102,96,336,6,2099,0.94,0.87,0.22,0.22,0.42
PF00024,PF00030:PF00017:PF00016:PF00026:PF00010:PF00027:PF00003:PF00022:PF00018:PF00013,140,961,123,17,838,1559,0.13,0.66,0.88,0.88,0.25,102,58,82,44,2353,0.57,0.95,0.41,0.41,0.46
PF00025,PF00022:PF00028:PF00011:PF00014:PF00029:PF00023:PF00030:PF00001:PF00021:PF00008,273,864,210,63,654,1610,0.24,0.72,0.77,0.77,0.31,71,63,210,8,2256,0.89,0.91,0.23,0.23,0.43
PF00026,PF00012:PF00011:PF00027:PF00024:PF00013:PF00001:PF00007:PF00016:PF00004:PF00019,235,1044,208,27,836,1466,0.2,0.66,0.89,0.89,0.31,87,75,160,12,2290,0.86,0.93,0.32,0.32,0.5
PF00027,PF00005:PF00004:PF00002:PF00008:PF00026:PF00001:PF00028:PF00024:PF00015:PF00013,320,1216,283,37,933,1284,0.23,0.62,0.88,0.88,0.31,136,105,215,31,2186,0.77,0.9,0.33,0.33,0.46
