ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027,50,46,19,31,27,275,0.41,0.84,0.38,0.38,0.3,10,9,41,1,301,0.9,0.88,0.18,0.18,0.37
PF00002,PF00028:PF00008:PF00027,12,63,9,3,54,286,0.14,0.84,0.75,0.75,0.28,13,6,6,7,333,0.46,0.96,0.5,0.5,0.46
PF00003,PF00010:PF00005:PF00006,13,104,10,3,94,245,0.1,0.72,0.77,0.77,0.2,31,7,6,24,315,0.23,0.91,0.54,0.54,0.31
PF00004,PF00013:PF00023:PF00027,89,75,39,50,36,227,0.52,0.76,0.44,0.44,0.32,20,15,74,5,258,0.75,0.78,0.17,0.17,0.28
PF00005,PF00003:PF00006:PF00027,84,60,34,50,26,242,0.57,0.78,0.4,0.4,0.35,8,8,76,0,268,1.0,0.78,0.1,0.1,0.27
PF00006,PF00016:PF00010:PF00003,23,47,11,12,36,293,0.23,0.86,0.48,0.48,0.27,7,4,19,3,326,0.57,0.94,0.17,0.17,0.29
PF00007,PF00029:PF00021:PF00019,6,15,4,2,11,335,0.27,0.96,0.67,0.67,0.41,2,2,4,0,346,1.0,0.99,0.33,0.33,0.57
PF00008,PF00008:PF00028:PF00002,30,42,30,0,12,310,0.71,0.97,1.0,1.0,0.83,12,11,19,1,321,0.92,0.94,0.37,0.37,0.56
PF00009,PF00020:PF00013:PF00015,41,36,14,27,22,289,0.39,0.86,0.34,0.34,0.29,4,4,37,0,311,1.0,0.89,0.1,0.1,0.3
PF00010,PF00016:PF00003:PF00006,35,35,11,24,24,293,0.31,0.86,0.31,0.31,0.24,7,4,31,3,314,0.57,0.9,0.11,0.11,0.22
PF00011,PF00010:PF00029:PF00016,15,42,9,6,33,304,0.21,0.89,0.6,0.6,0.31,4,3,12,1,336,0.75,0.96,0.2,0.2,0.38
PF00012,PF00012:PF00016:PF00009,22,61,22,0,39,291,0.36,0.89,1.0,1.0,0.56,8,7,15,1,329,0.88,0.95,0.32,0.32,0.51
PF00013,PF00013:PF00023:PF00009,35,79,35,0,44,273,0.44,0.88,1.0,1.0,0.62,21,17,18,4,313,0.81,0.94,0.49,0.49,0.6
PF00014,PF00029:PF00028:PF00013,12,45,8,4,37,303,0.18,0.88,0.67,0.67,0.3,9,8,4,1,339,0.89,0.99,0.67,0.67,0.76
PF00015,PF00015:PF00009:PF00010,4,64,4,0,60,288,0.06,0.83,1.0,1.0,0.23,12,4,0,8,340,0.33,0.98,1.0,1.0,0.57
PF00016,PF00019:PF00006:PF00010,9,55,6,3,49,294,0.11,0.85,0.67,0.67,0.23,10,4,5,6,337,0.4,0.97,0.44,0.44,0.41
PF00017,PF00017:PF00018:PF00030,31,65,31,0,34,287,0.48,0.9,1.0,1.0,0.65,17,17,14,0,321,1.0,0.96,0.55,0.55,0.72
PF00018,PF00017:PF00023:PF00030,46,56,21,25,35,271,0.38,0.83,0.46,0.46,0.32,11,8,38,3,303,0.73,0.88,0.17,0.17,0.32
PF00019,PF00019:PF00016:PF00020,11,18,11,0,7,334,0.61,0.98,1.0,1.0,0.77,4,3,8,1,340,0.75,0.97,0.27,0.27,0.44
PF00020,PF00020:PF00019:PF00016,4,18,4,0,14,334,0.22,0.96,1.0,1.0,0.46,4,3,1,1,347,0.75,0.99,0.75,0.75,0.75
PF00021,PF00021:PF00007:PF00029,4,9,4,0,5,343,0.44,0.99,1.0,1.0,0.66,3,3,1,0,348,1.0,1.0,0.75,0.75,0.86
PF00022,PF00022:PF00025:PF00006,27,63,27,0,36,289,0.43,0.9,1.0,1.0,0.62,18,15,12,3,322,0.83,0.96,0.56,0.56,0.66
PF00023,PF00013:PF00018:PF00008,32,80,17,15,63,257,0.21,0.78,0.53,0.53,0.23,22,10,22,12,308,0.45,0.9,0.31,0.31,0.33
PF00024,PF00030:PF00017:PF00016,11,41,4,7,37,304,0.1,0.88,0.36,0.36,0.14,7,4,7,3,338,0.57,0.97,0.36,0.36,0.44
PF00025,PF00022:PF00028:PF00011,36,44,16,20,28,288,0.36,0.86,0.44,0.44,0.33,10,6,30,4,312,0.6,0.9,0.17,0.17,0.28
PF00026,PF00012:PF00011:PF00027,21,54,10,11,44,287,0.19,0.84,0.48,0.48,0.23,12,6,15,6,325,0.5,0.94,0.29,0.29,0.35
PF00027,PF00005:PF00004:PF00002,36,126,26,10,100,216,0.21,0.69,0.72,0.72,0.26,49,19,17,30,286,0.39,0.87,0.53,0.53,0.38
PF00028,PF00028:PF00008:PF00002,17,42,17,0,25,310,0.4,0.93,1.0,1.0,0.61,12,10,7,2,333,0.83,0.97,0.59,0.59,0.69
PF00029,PF00007:PF00019:PF00020,4,16,2,2,14,334,0.12,0.95,0.5,0.5,0.23,3,2,2,1,347,0.67,0.99,0.5,0.5,0.57
PF00030,PF00017:PF00024:PF00029,10,39,6,4,33,309,0.15,0.89,0.6,0.6,0.27,5,3,7,2,340,0.6,0.97,0.3,0.3,0.41
